2411403|Santana do Matos|13,80,58,36,63,34,20,34,44,36,1,68,89,145,107,122,222,487,180,188
2405405|Japi|21,22,20,16,22,34,26,22,24,45,12,12,266,314,307,163,154,126,230,185
2406700|Lajes|21,25,9,26,17,13,51,35,39,104,89,43,126,68,104,254,308,238,217,189
2410306|Serra Caiada|39,39,39,60,39,36,54,61,54,78,37,12,93,163,290,85,152,132,262,226
2409803|Pedro Velho|18,47,19,29,24,24,34,39,49,43,28,29,34,128,186,163,298,158,258,271
2405306|Januário Cicco|1,11,6,9,5,78,17,12,28,31,33,33,303,215,256,166,140,146,133,221
2402808|Coronel Ezequiel|19,13,17,18,24,17,23,30,28,24,23,65,84,110,179,196,219,169,265,211
2401107|Areia Branca|61,93,67,64,114,92,112,85,90,89,68,77,129,40,163,92,79,66,85,63
2409704|Pedro Avelino|16,32,21,28,41,46,30,27,18,32,23,17,60,131,214,127,207,297,196,148
2401453|Baraúna|90,78,79,77,77,54,101,67,87,101,61,67,83,81,90,97,91,95,119,112
2406809|Lajes Pintadas|16,24,8,26,18,25,18,32,21,29,18,33,174,323,297,104,132,88,111,171
2409902|Pendências|22,23,52,44,33,55,97,77,76,53,54,30,29,102,98,72,128,104,299,150
2406106|Jucurutu|52,46,21,43,89,69,81,68,40,68,99,64,53,78,56,159,92,115,137,132
2410900|Riachuelo|33,34,12,49,24,36,38,62,40,31,29,29,44,147,167,95,161,122,197,195
2402709|Cerro Corá|16,22,24,37,35,26,19,47,21,40,34,34,88,111,196,150,154,98,163,225
2402501|Carnaubais|15,36,22,29,39,38,63,72,78,96,53,32,62,78,117,88,97,88,280,123
2406155|Jundiá|31,18,16,29,28,34,23,12,15,9,18,13,141,192,230,108,165,104,142,169
2401008|Apodi|65,67,47,42,36,42,67,53,75,48,84,76,131,91,85,80,53,69,100,173
2401859|Caiçara do Norte|26,24,10,41,20,11,32,20,20,15,22,7,23,157,141,148,94,119,218,295
2401909|Caiçara do Rio do Vento|0,3,3,9,4,3,8,15,7,10,14,5,8,384,144,145,214,162,179,117
2412807|São Rafael|16,60,8,4,85,13,71,64,33,73,21,51,50,65,63,33,70,235,177,234
2412302|São José do Campestre|35,41,31,43,61,25,51,22,41,53,52,27,44,100,109,134,101,126,154,150
2408805|Parazinho|15,23,21,28,35,31,32,17,25,38,27,29,33,97,89,64,212,125,278,151
2408904|Parelhas|52,67,38,57,113,38,61,88,62,105,67,112,75,94,32,101,38,13,59,92
2405009|Jaçanã|34,44,16,16,15,10,45,28,26,22,24,20,123,133,169,119,124,82,112,163
2405702|Jardim do Seridó|38,22,64,45,73,69,48,62,43,80,23,54,73,66,113,74,78,90,88,78
2406205|Lagoa d'Anta|15,12,17,15,15,10,11,23,9,18,14,3,48,139,211,148,108,113,149,191
2401503|Barcelona|22,6,12,15,19,10,9,12,19,6,17,35,143,83,133,188,153,149,87,91
2413359|Serra do Mel|32,28,18,44,33,13,29,34,35,36,30,40,97,104,119,61,79,56,146,124
2414704|Várzea|24,0,26,0,38,6,17,31,15,2,0,52,21,90,75,97,79,175,164,236
2403004|Cruzeta|14,46,18,29,35,39,62,42,60,36,35,32,147,84,75,59,85,52,79,116
2413706|Sítio Novo|17,23,22,24,32,23,32,48,34,44,32,31,104,154,147,74,54,75,58,82
2404853|Itajá|6,14,22,17,21,6,23,35,31,44,55,24,61,68,71,57,130,71,132,194
2400109|Acari|51,33,41,27,42,37,45,37,44,46,28,45,33,71,67,55,89,68,137,77
2401800|Brejinho|14,30,15,19,35,11,19,15,17,14,18,20,68,138,138,71,96,46,138,150
2412500|São Miguel|36,16,9,2,11,7,9,13,4,9,8,13,97,236,78,55,60,259,65,70
2403806|Florânia|29,40,32,28,34,28,36,32,27,32,24,38,71,105,124,70,80,56,94,71
2409209|Passagem|7,6,10,16,20,7,10,8,9,10,11,7,123,136,139,83,66,77,121,182
2409605|Pedra Preta|2,6,10,6,12,18,18,22,14,14,18,34,59,89,95,69,221,45,156,137
2412708|São Pedro|23,8,27,32,21,18,15,22,34,25,31,28,28,80,144,80,101,62,126,94
2409308|Patu|31,33,34,37,56,38,56,46,34,38,36,42,33,50,62,38,56,116,69,90
2405603|Jardim de Piranhas|29,23,11,23,34,24,21,24,23,18,18,40,45,32,246,45,121,85,80,43
2413409|Serra Negra do Norte|30,39,49,73,63,43,49,45,21,24,40,49,72,52,33,49,67,44,66,67
2403400|Equador|18,0,16,6,2,17,13,8,12,6,36,15,67,72,53,93,135,154,181,44
2403202|Doutor Severiano|3,8,21,16,16,21,17,28,24,21,10,23,14,43,44,31,90,248,132,54
2413003|São Vicente|22,18,27,21,26,26,32,24,16,22,38,31,69,57,70,50,67,48,99,86
2411700|São Bento do Trairí|5,18,11,13,16,11,19,19,11,4,29,17,49,51,60,77,54,126,96,139
2414506|Umarizal|23,20,33,17,20,19,37,40,45,25,20,21,47,22,57,28,26,205,81,34
2409332|Santa Maria|12,12,6,12,11,11,26,19,1,3,29,20,19,85,135,97,69,72,95,64
2402402|Carnaúba dos Dantas|9,22,27,35,38,19,20,23,15,25,18,27,94,40,35,64,74,36,76,98
2413300|Serra de São Bento|29,71,8,33,14,0,11,20,40,13,4,4,48,73,94,31,75,39,90,90
2403707|Felipe Guerra|46,17,21,24,26,28,37,30,36,35,17,22,60,51,57,45,56,57,65,53
2413557|Serrinha dos Pintos|2,0,0,2,2,0,5,3,6,8,22,9,41,85,71,68,122,144,73,90
2401305|Campo Grande|29,26,30,18,18,19,45,44,32,31,52,28,28,61,48,42,60,16,29,93
2411106|Ruy Barbosa|7,2,0,9,2,6,16,6,11,25,4,12,44,71,110,88,100,38,99,73
2405207|Janduís|19,25,4,39,31,31,45,27,52,26,37,44,25,26,22,49,57,50,43,53
2414456|Triunfo Potiguar|55,3,21,16,18,10,8,18,16,11,12,15,21,50,32,13,11,18,196,152
